YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2009,16,151294,8399,Cargurus
2009,16,135000,7800,Cargurus
2011,14,113453,12175,Cargurus
2013,12,122079,11999,Cargurus
2013,12,51342,18998,Cargurus
2014,11,61616,17461,Cargurus
2014,11,103655,13900,Cargurus
2015,10,128994,13795,Cargurus
2015,10,68020,17999,Cargurus
2016,9,94879,17998,Cargurus
2016,9,170737,10606,Cargurus
2017,8,95560,16100,Cargurus
2020,5,47106,23455,Cargurus
2021,4,21836,24346,Cargurus
2023,2,21077,24700,Cargurus
2024,1,6039,24611,Cargurus